price,bedrooms,bathrooms,sqft_living,floors,waterfront,view,condition,sqft_basement,city,house_age,is_renovated,sqft_living_bathrooms,zipcode
376000.0,3.0,2.0,1340,3.0,0,0,3,0,Seattle,6,0,2680.0,98103
800000.0,4.0,3.25,3540,2.0,0,0,3,0,Carnation,7,0,11505.0,98014
324000.0,3.0,2.25,998,2.0,0,0,3,200,Seattle,7,0,2245.5,98117
549900.0,5.0,2.75,3060,1.0,0,0,5,1460,Seattle,35,0,8415.0,98146
320000.0,3.0,2.5,2130,2.0,0,0,3,0,Maple Valley,11,0,5325.0,98038
875000.0,4.0,2.0,2520,1.0,0,0,3,1120,Seattle,93,1,5040.0,98103
265000.0,4.0,1.0,1940,1.0,0,0,3,860,Kent,52,1,1940.0,98031
394950.0,3.0,2.5,1350,3.0,0,0,3,80,Seattle,8,0,3375.0,98136
842500.0,4.0,2.5,2160,2.5,0,0,4,0,Seattle,112,0,5400.0,98122
368000.0,3.0,2.5,1370,2.0,0,0,3,360,Seattle,7,0,3425.0,98136
885000.0,4.0,2.5,2830,2.0,0,0,3,0,Seattle,19,0,7075.0,98105
453246.0,3.0,2.5,2010,2.0,0,0,3,620,Issaquah,0,0,5025.0,98029
927000.0,4.0,2.75,3300,2.0,0,0,3,0,Clyde Hill,61,0,9075.0,98004
490000.0,2.0,2.5,1230,2.0,0,0,3,360,Seattle,10,1,3075.0,98112
341000.0,3.0,1.5,1720,1.5,0,0,4,0,Shoreline,62,0,2580.0,98155
235000.0,1.0,1.0,810,1.0,0,0,5,0,Seattle,73,0,810.0,98126
560000.0,3.0,2.0,2560,1.0,0,0,3,0,Auburn,28,0,5120.0,98092
900000.0,4.0,3.25,4700,2.0,0,0,3,1280,Bellevue,36,0,15275.0,98005
255000.0,2.0,1.0,1220,1.0,0,0,3,450,Seattle,104,1,1220.0,98126
876650.0,3.0,3.25,2170,1.5,0,0,5,520,Mercer Island,86,1,7052.5,98040
540000.0,4.0,2.25,2540,1.0,0,0,3,1090,Duvall,24,1,5715.0,98019
350000.0,2.0,1.0,910,1.5,0,0,4,0,Seattle,108,1,910.0,98118
750000.0,4.0,2.5,2980,2.0,0,0,3,90,Bellevue,14,0,7450.0,98006
582000.0,4.0,1.75,2120,1.0,0,1,3,930,Seattle,63,1,3710.0,98117
372500.0,5.0,3.0,2480,1.0,0,0,3,1180,Seattle,10,1,7440.0,98178
410000.0,3.0,2.25,2200,2.0,0,0,3,0,Maple Valley,27,1,4950.0,98038
360000.0,4.0,2.0,1730,1.0,0,0,5,720,Seattle,71,0,3460.0,98106
1015000.0,3.0,2.5,2920,1.0,0,4,4,1120,Seattle,60,1,7300.0,98116
225000.0,3.0,1.0,990,1.0,0,0,4,0,Renton,48,0,990.0,98058
647000.0,4.0,2.5,3040,2.0,0,0,3,0,Sammamish,15,0,7600.0,98074
950000.0,5.0,3.0,4530,1.5,0,0,4,1330,Woodinville,11,0,13590.0,98077
185000.0,3.0,1.5,1370,1.0,0,0,4,0,Auburn,53,1,2055.0,98092
335000.0,3.0,2.5,1940,2.0,0,0,3,0,Renton,10,1,4850.0,98058
210000.0,3.0,2.5,1040,2.0,0,0,3,320,Seattle,10,1,2600.0,98118
